"name","address","phone","specification","lat","long"
"Ecole primaire de la Forêt","LE BOURG 42670 BELMONT DE LA LOIRE","0477636542","","46.16539360450339","4.346540602164019"
"Ecole maternelle Jaurès","4 rue du Colonel Marey 42500 LE CHAMBON FEUGEROLLES","0477610270","REP","45.395209426831215","4.322800191508945"
"Ecole primaire Champdieu","106 rue de la Mairie 42600 CHAMPDIEU","0477971275","","45.64571676792761","4.046699552318216"
"Ecole élémentaire Bourg","LE BOURG 42430 CHAMPOLY","0477650226","","45.85716969224667","3.832969661788861"
"Ecole primaire Bourg","BOURG 42410 LA CHAPELLE VILLARS","0474878383","","45.472732457896825","4.717529412485948"
"Ecole primaire Bourg","13 RUE GRANDE RUE 42410 CHAVANAY","0474872228","","45.41449289094946","4.731129925626313"
"Ecole primaire Les Chênes de Beylieu","Lieu-dit le Bourg 42560 CHENEREILLES","0477765692","","45.48425881938543","4.079089639537162"
"Ecole primaire","Le Bourg 42114 CHIRASSIMONT","0477624142","","45.9137243392772","4.285979835644442"
"Ecole primaire Bourg","70 rue des écoliers 42110 CIVENS","0477260169","","45.780291464436914","4.252120307900068"
"Ecole primaire","Rue du Docteur Ouillon 42123 CORDELLE","0477649219","","45.94289664672208","4.064700290517023"
"Ecole primaire Bourg","Rue du 21 Août 1944 42380 ESTIVAREILLES","0477502040","","45.41537239016072","4.009299847423306"
"Ecole primaire d'Egarande","Place des Combattants 42320 FARNAY","0477735834","","45.492526373888914","4.597190596674627"
"Ecole maternelle Beaucueil","26 rue Pierre Brossolette 42153 RIORGES","0477701726","","46.046990382921244","4.044659687152364"
"Ecole élémentaire Bourg","Impasse du lavoir 42600 ROCHE","0477762008","","45.61489359263881","3.948240205618993"
"Ecole élémentaire Cousteau","3 rue Louis Comté 42230 ROCHE LA MOLIERE","0477906009","","45.4331390468026","4.3210601093644385"
"Ecole élémentaire Côte Durieux","14 rue de la Chiorarie 42230 ROCHE LA MOLIERE","0477906005","","45.43581997644315","4.335969937672153"
"Ecole élémentaire Bourg","175 rue des sources 42310 SAIL LES BAINS","0477641221","","46.238043185020345","3.846370325045467"
"Ecole primaire","BOURG 42510 NERVIEUX","0477272608","","45.805375461951975","4.1545802549605115"
"Ecole élémentaire Bourg","5 place du capitaine Noutary 42370 LES NOES","0477642755","","46.04147229582009","3.8524394062441703"
"Ecole primaire Bourg","LE BOURG 42120 NOTRE DAME DE BOISSET","0477620330","","45.99374282107786","4.129630581263219"
"Ecole primaire Bourg","LE BOURG 42750 MARS","0477605156","","46.152991599540215","4.2457806071860125"
"Ecole primaire Bourg","Bourg 42560 GUMIERES","0477767521","","45.53154790707938","3.9866003540766513"
"Ecole élémentaire Bourg","LE BOURG 42600 LERIGNEUX","0477762544","","45.60182020935769","3.9648894949467723"
"Ecole primaire Les Prés","55 rue Victor Hugo 42210 ST ANDRE LE PUY","0477545393","","45.645701379513426","4.258989764122126"
"Ecole primaire Chabure","3 route de la Chabure 42400 ST CHAMOND","0477222950","","45.46230882477137","4.499890291210588"
"Ecole primaire Garat-Asile Fournas","10 rue asile Fournas 42400 ST CHAMOND","0477222700","","45.47791248458202","4.51441941998363"
"Ecole primaire Bourg","LE BOURG 42123 ST CYR DE FAVIERES","0477649799","","45.96679483863536","4.09448992451763"
"Ecole primaire Bourg","LE BOURG 42111 ST DIDIER SUR ROCHEFORT","0477979646","","45.79312669421189","3.8425703561763997"
"Ecole primaire d'application Beaulieu 1","20 rue Henri Dunant 42000 ST ETIENNE","0477251250","REP","45.42721785811953","4.409150402675103"
"Ecole Edith Piaf primaire","18 place de Verdun 42640 ST FORGEUX LESPINASSE","0477656412","","46.12311238063895","3.9304900604860356"
